"default","student","balance","income"
"No","No",646.856743672621,28836.7571332658
"No","Yes",287.64948929053,15441.3667468103
"No","No",630.665336901894,56266.7584991141
"No","No",610.500866970475,28664.0426596326
"No","No",1224.2294141262,34490.2250037052
"No","No",326.873676115074,48756.0275802893
"No","Yes",325.282819884072,15644.241969999
"No","Yes",623.757859297093,19191.9669165633
"No","No",1394.47677556729,44092.5486778967
"No","No",929.085467738706,35571.7766510459
"No","No",887.743410952946,43478.8851944059
"No","No",0,26598.6432244359
"No","Yes",127.222763146235,9801.50016731735
"No","No",986.358895012314,41688.0643432576
"No","Yes",1430.32550175549,20846.9633160869
"Yes","No",1026.35885461087,56182.1299303767
"No","No",556.017498447854,33705.0786503377
"No","No",1018.43623649899,53962.2776889911
"No","Yes",1083.71139106704,17040.5193960842
"No","No",1602.8069430866,34700.2659635459
"No","No",921.347854114992,47610.9551969613
"No","Yes",769.449761812267,21717.9437219793
"No","Yes",289.834142708942,13914.6037195669
"No","No",955.339164891699,46310.1075238865
"No","No",387.786699789214,38745.3611515006
"No","Yes",1340.96638891561,18725.9542084895
"No","No",1252.89403929371,35587.7235974753
"No","No",435.393159422012,32907.3324671792
"No","No",491.048506081094,37219.5210759241
"No","No",1112.50930363905,44298.3856437862
"No","No",828.98020983988,55696.8036988707
"No","No",568.352003557277,38963.9592439543
"No","Yes",672.410410996218,16508.4250338839
"No","No",931.784107242425,37280.4101469294
"No","Yes",982.773097327345,24145.529432349
"No","Yes",686.528758338996,25779.7833400234
"No","No",1069.52691083267,34694.0007489652
"No","No",863.954854648355,17159.1633825291
"No","Yes",976.451484674357,10541.5702251666
"Yes","No",1586.50219904833,48925.9333773086
"No","No",544.126248458484,49900.5840191049
"No","No",198.929141819723,50463.775492981
"No","No",1026.19409513964,35685.4837341184
"No","No",1317.5648641479,40731.7639670574
"No","No",0,33322.4823586788
"No","No",358.613776928252,47688.8047213017
"No","Yes",1511.37287983489,14982.5985069438
"No","No",359.916678749368,52248.1180712292
"No","Yes",529.343106295732,17245.8006101566
"No","Yes",888.564819034569,21820.217178924
"Yes","No",1954.33329923565,35067.5349242276
"No","No",131.747075963338,36947.7786180191
"No","No",518.899020411541,46192.5543655143
"No","Yes",1593.32749210594,11570.7286227592
"Yes","Yes",1473.03456108025,18108.9616707213
"No","No",1527.92479896565,44640.7447447419
"No","No",1349.90847931826,48103.0307778647
"No","No",371.881863400765,46682.5469471478
"No","No",758.021077838799,55278.5919447949
"No","No",1306.83203413692,57561.4112609049
"No","No",605.847239898752,58892.9054842696
"No","No",1085.24381139608,21805.7923070268
"No","Yes",1582.23460960239,20214.6895370087
"No","No",1078.48346006262,40944.2697839083
"No","No",711.663817704793,35741.2021602845
"No","No",1204.45918317075,39418.7070865023
"No","Yes",885.209895707751,18693.7271194525
"No","No",1795.88371131615,25878.51931005
"No","No",230.916226613247,36139.4105825641
"No","Yes",1038.55559796008,17055.7950391374
"No","No",731.477128185087,18843.2713163752
"No","No",1734.22804374841,37621.6331723075
"No","No",640.520349799475,30327.6077411327
"No","No",218.11485408738,38766.1076269185
"No","No",912.390423465777,26857.1718991427
"No","No",726.04214847851,42272.4378377617
"No","No",408.619017832787,35622.5983889609
"No","No",309.740932405142,33333.5647205627
"No","No",1392.6193716631,54027.1994679767
"No","Yes",587.044939922979,15939.8195167005
"No","No",898.272656314256,48233.875497513
"No","No",325.841005644733,37392.681507636
"No","No",896.027135886118,30452.0368389113
"No","No",803.764577734824,48013.6101491714
"No","No",509.195633409241,46368.3940729585
"No","Yes",1031.01773195343,16568.6330047446
"No","No",782.413394401973,34830.6262855281
"No","No",1168.37748585253,42388.1210151284
"No","No",561.623001826995,36266.8058793083
"No","No",850.518457429395,35683.8322872263
"No","No",752.510218476464,18960.365575285
"No","No",245.505961457986,31307.2436442818
"Yes","No",1733.82467870178,26330.5117293113
"No","No",590.666032001301,59574.2177200191
"No","Yes",711.582822595621,17780.7598281387
"No","Yes",831.845343849951,19797.3565884764
"No","No",1344.71128149314,26215.3918353377
"No","No",224.691145051763,55040.6127338996
"No","No",361.742665529608,54071.3405585766
