lat,lon,ele,time,level1,level2,level3
51.605102,-0.881766,109.469984,2022-08-07T09:04:04.332Z,6378209.469984,109.469984,0.0
51.605174,-0.881669,109.469984,2022-08-07T09:04:23.233Z,6378209.469984,109.469984,0.0
51.60514,-0.881814,109.469984,2022-08-07T09:04:29.220Z,6378209.469984,109.469984,0.0
51.605032,-0.881864,109.469984,2022-08-07T09:04:33.233Z,6378209.469984,109.469984,0.0
51.604929,-0.881875,109.469984,2022-08-07T09:04:39.231Z,6378209.469984,109.469984,0.0
51.605084,-0.881817,109.469984,2022-08-07T09:06:13.216Z,6378209.469984,109.469984,0.0
51.605151,-0.881694,109.469984,2022-08-07T09:06:20.217Z,6378209.469984,109.469984,0.0
51.605213,-0.881569,109.469984,2022-08-07T09:06:28.221Z,6378209.469984,109.469984,0.0
51.605314,-0.881593,109.469984,2022-08-07T09:06:32.224Z,6378209.469984,109.469984,0.0
51.605427,-0.881617,109.263142,2022-08-07T09:06:36.220Z,6378209.263142,109.263142,-0.20684199999999464
51.605527,-0.88161,109.012459,2022-08-07T09:06:39.227Z,6378209.012459,109.012459,-0.45752499999998975
51.605634,-0.881608,108.744464,2022-08-07T09:06:43.227Z,6378208.744464,108.744464,-0.725520000000003
51.60575,-0.881613,108.453842,2022-08-07T09:06:48.227Z,6378208.453842,108.453842,-1.016142000000002
51.605848,-0.881606,108.208164,2022-08-07T09:06:51.228Z,6378208.208164,108.208164,-1.2618200000000002
51.605953,-0.881594,107.944534,2022-08-07T09:06:54.228Z,6378207.944534,107.944534,-1.5254499999999922
51.606051,-0.881593,107.699092,2022-08-07T09:06:57.215Z,6378207.699092,107.699092,-1.7708920000000035
51.606172,-0.881612,107.394614,2022-08-07T09:07:01.228Z,6378207.394614,107.394614,-2.0753699999999924
51.606295,-0.881644,107.082571,2022-08-07T09:07:04.231Z,6378207.082571,107.082571,-2.387412999999995
51.606397,-0.881668,106.824402,2022-08-07T09:07:08.231Z,6378206.824402,106.824402,-2.6455819999999903
51.606497,-0.881659,106.573565,2022-08-07T09:07:13.228Z,6378206.573565,106.573565,-2.8964189999999945
51.606609,-0.881662,106.293027,2022-08-07T09:07:16.227Z,6378206.293027,106.293027,-3.1769570000000016
51.606737,-0.881661,105.972452,2022-08-07T09:07:19.227Z,6378205.972452,105.972452,-3.4975319999999925
51.606859,-0.881658,105.666873,2022-08-07T09:07:22.225Z,6378205.666873,105.666873,-3.8031110000000012
51.606974,-0.881631,105.375814,2022-08-07T09:07:25.227Z,6378205.375814,105.375814,-4.094169999999991
51.607086,-0.881613,105.093921,2022-08-07T09:07:28.227Z,6378205.093921,105.093921,-4.376063000000002
51.607184,-0.881603,104.916381,2022-08-07T09:07:31.227Z,6378204.916381,104.916381,-4.553602999999995
51.607275,-0.881596,104.821173,2022-08-07T09:07:34.217Z,6378204.821173,104.821173,-4.648810999999995
51.607395,-0.881594,104.695761,2022-08-07T09:07:38.229Z,6378204.695761,104.695761,-4.774222999999992
51.607494,-0.881591,104.592282,2022-08-07T09:07:42.225Z,6378204.592282,104.592282,-4.877701999999999
51.607585,-0.881584,104.497075,2022-08-07T09:07:46.227Z,6378204.497075,104.497075,-4.972909000000001
51.607691,-0.881566,104.385685,2022-08-07T09:07:51.227Z,6378204.385685,104.385685,-5.0842990000000015
51.607802,-0.881544,104.268809,2022-08-07T09:07:56.229Z,6378204.268809,104.268809,-5.201174999999992
